Original_Question_Index,Instruction,Context,Question_1,Answer_1,Original_Question,Perturbation,Perturbed_Question,Expected_Answer
0,Answer the following questions based on the context provided.,Cucumber plants need insects to pollinate them. Seedless cucumber does not require pollination.,Is growing seedless cucumber good for a gardener with entomophobia?,Yes,Can cucumbers grow without insects?,Perturb 0-1,aCn cucumbers grow without insects?,Yes
0,Answer the following questions based on the context provided.,Cucumber plants need insects to pollinate them. Seedless cucumber does not require pollination.,Is growing seedless cucumber good for a gardener with entomophobia?,Yes,Can cucumbers grow without insects?,Perturb 0-2,Can uccumbers grow without insects?,Yes
0,Answer the following questions based on the context provided.,Cucumber plants need insects to pollinate them. Seedless cucumber does not require pollination.,Is growing seedless cucumber good for a gardener with entomophobia?,Yes,Can cucumbers grow without insects?,Perturb 0-3,Can cucumbers gorw without insects?,Yes
0,Answer the following questions based on the context provided.,Cucumber plants need insects to pollinate them. Seedless cucumber does not require pollination.,Is growing seedless cucumber good for a gardener with entomophobia?,Yes,Can cucumbers grow without insects?,Perturb 0-4,Can cucumbers grow withuot insects?,Yes
0,Answer the following questions based on the context provided.,Cucumber plants need insects to pollinate them. Seedless cucumber does not require pollination.,Is growing seedless cucumber good for a gardener with entomophobia?,Yes,Can cucumbers grow without insects?,Perturb 0-5,Can cucumbers grow without nisects?,Yes
1,Answer the following questions based on the context provided.,Solar panels need sunlight to generate electricity. Modern solar panels work efficiently even on cloudy days.,Can solar panels generate electricity on cloudy days?,Yes,Is sunlight necessary for solar panels to function?,Perturb 1-1,sI sunlight necessary for solar panels to function?,Yes
1,Answer the following questions based on the context provided.,Solar panels need sunlight to generate electricity. Modern solar panels work efficiently even on cloudy days.,Can solar panels generate electricity on cloudy days?,Yes,Is sunlight necessary for solar panels to function?,Perturb 1-2,Is sunligth necessary for solar panels to function?,Yes
1,Answer the following questions based on the context provided.,Solar panels need sunlight to generate electricity. Modern solar panels work efficiently even on cloudy days.,Can solar panels generate electricity on cloudy days?,Yes,Is sunlight necessary for solar panels to function?,Perturb 1-3,Is sunlight necsesary for solar panels to function?,Yes
1,Answer the following questions based on the context provided.,Solar panels need sunlight to generate electricity. Modern solar panels work efficiently even on cloudy days.,Can solar panels generate electricity on cloudy days?,Yes,Is sunlight necessary for solar panels to function?,Perturb 1-4,Is sunlight necessary fro solar panels to function?,Yes
1,Answer the following questions based on the context provided.,Solar panels need sunlight to generate electricity. Modern solar panels work efficiently even on cloudy days.,Can solar panels generate electricity on cloudy days?,Yes,Is sunlight necessary for solar panels to function?,Perturb 1-5,Is sunlight necessary for soalr panels to function?,Yes
1,Answer the following questions based on the context provided.,Solar panels need sunlight to generate electricity. Modern solar panels work efficiently even on cloudy days.,Can solar panels generate electricity on cloudy days?,Yes,Is sunlight necessary for solar panels to function?,Perturb 1-6,Is sunlight necessary for solar panesl to function?,Yes
1,Answer the following questions based on the context provided.,Solar panels need sunlight to generate electricity. Modern solar panels work efficiently even on cloudy days.,Can solar panels generate electricity on cloudy days?,Yes,Is sunlight necessary for solar panels to function?,Perturb 1-7,Is sunlight necessary for solar panels ot function?,Yes
1,Answer the following questions based on the context provided.,Solar panels need sunlight to generate electricity. Modern solar panels work efficiently even on cloudy days.,Can solar panels generate electricity on cloudy days?,Yes,Is sunlight necessary for solar panels to function?,Perturb 1-8,Is sunlight necessary for solar panels to functoin?,Yes
2,Answer the following questions based on the context provided.,Exercise boosts mental health by releasing endorphins. Regular exercise can reduce symptoms of depression and anxiety.,Can regular exercise improve mental health?,Yes,Does exercise help with anxiety?,Perturb 2-1,Dose exercise help with anxiety?,Yes
2,Answer the following questions based on the context provided.,Exercise boosts mental health by releasing endorphins. Regular exercise can reduce symptoms of depression and anxiety.,Can regular exercise improve mental health?,Yes,Does exercise help with anxiety?,Perturb 2-2,Does exrecise help with anxiety?,Yes
2,Answer the following questions based on the context provided.,Exercise boosts mental health by releasing endorphins. Regular exercise can reduce symptoms of depression and anxiety.,Can regular exercise improve mental health?,Yes,Does exercise help with anxiety?,Perturb 2-3,Does exercise hepl with anxiety?,Yes
2,Answer the following questions based on the context provided.,Exercise boosts mental health by releasing endorphins. Regular exercise can reduce symptoms of depression and anxiety.,Can regular exercise improve mental health?,Yes,Does exercise help with anxiety?,Perturb 2-4,Does exercise help wtih anxiety?,Yes
2,Answer the following questions based on the context provided.,Exercise boosts mental health by releasing endorphins. Regular exercise can reduce symptoms of depression and anxiety.,Can regular exercise improve mental health?,Yes,Does exercise help with anxiety?,Perturb 2-5,Does exercise help with anxieyt?,Yes
